state,type,ease_tier,agency,portal,url,docs_available,access,link_verified_aug2026,est_projects_since_jan2025,notes
Florida,Vertical,1,Dept. of Management Services (DMS),MyFloridaMarketPlace Vendor Info Portal,https://vendor.myfloridamarketplace.com/search/bids,Agency ads incl. DMS Real Estate Development & Management construction,Free,yes,250,Search and downloads public; MFMP registration only needed to bid. Page is a JavaScript app (needs a browser to scrape).
Florida,DOT,1,"Florida DOT (FDOT), Contracts Administration",Central Office Letting & Project Info,https://www.fdot.gov/contracts/lettings/letting-project-info.shtm,"Letting ads, bid items, proposals, plans, addenda by letting date",Free registration,yes,750,Most docs free from FDOT's file server; full bidder packages via CPP ordering system. Over $250K requires prequalification.
Georgia,Vertical,1,GSFIC / DOAS,Georgia Procurement Registry (GPR),https://ssl.doas.state.ga.us/gpr/,GSFIC capital project construction/design solicitations with documents,Free,no,60,Public search free. GPR blocked automated check but GSFIC confirms all its construction solicitations post here.
Georgia,DOT,2,Georgia DOT (GDOT),GDOT Lettings on Bid Express,https://ui.bidx.com/GADOT/lettings,"Letting ads, proposals, plans, amendments, bid tabs",Free registration,yes,325,Free Bid Express account to view documents; e-bid submission carries a subscription fee.
Hawaii,Vertical,2,DAGS Public Works Division,DAGS PWD Bidding,https://publicworks.hawaii.gov/bidding/,Bid plans and specifications for state building projects,Free registration,yes,20,Planholder registration required to download plans/specs; bid openings via Zoom.
Hawaii,DOT,1,Hawaii DOT (HDOT),HDOT Current Bid Openings,https://hidot.hawaii.gov/administration/con/current-bid-openings/,"Highway, airport, harbor bid notices, proposals, plans",Free,yes,90,Some solicitations route through statewide HIePRO/HANDS (free vendor registration).
Idaho,Vertical,1,"Dept. of Administration, Division of Public Works",DPW Projects Out to Bid,https://dpw.idaho.gov/construction/,Ads for bids with plans and specifications per project,Free,yes,170,Ads posted as PDFs; full plan/spec sets often via the project architect or plan rooms named in each ad.
Idaho,DOT,3,Idaho Transportation Dept. (ITD),ITD Advertised Projects & Bid Results,https://itd.idaho.gov/contractor-bidding/,"Highway ads, plans, proposals, bid results",Registration + fee,yes,90,Plan-holder access via QuestCDN (download fee); e-bidding via Bid Express.
Illinois,Vertical,2,Illinois Capital Development Board (CDB),CDB Construction Bulletin,https://cdb.illinois.gov/procurement/bidinformation.html,"Project manuals, drawings, bid docs for state facility projects",Free,yes,250,Documents distributed through participating plan rooms; bids submitted via CDB's e-Builder system.
Illinois,DOT,1,Illinois DOT (IDOT),IDOT Letting and Bidding (WCTB),https://webapps1.dot.illinois.gov/WCTB/LBHome,"Notices of letting, plans, special provisions, proposals",Free,yes,1200,Docs free to view/download; Authorization to Bid + EBids enrollment needed to actually bid.
Indiana,Vertical,1,IDOA Public Works Division,IDOA Public Works Bid Opportunities,https://www.in.gov/idoa/state-property-and-facilities/public-works/,"Notices to bidders, plans, specs for state facility projects",Free,yes,500,Current solicitations hosted on the linked Access Indiana portal (in.accessgov.com/dapw).
Indiana,DOT,1,Indiana DOT (INDOT),INDOT Contracts / Letting Information,https://www.in.gov/indot/doing-business-with-indot/home/contracts/,"Letting schedules, contract letting docs (ERMS), plans, proposals",Free,yes,600,Letting docs free from ERMS; bidding requires prequalification + Bid Express account.
Iowa,Vertical,1,Iowa Dept. of Administrative Services,DAS Bidding Opportunities,https://bidopportunities.iowa.gov/,Active state bids incl. DAS construction with attached plans/specs,Free,yes,300,"Statewide portal, many agencies; documents publicly viewable without login."
Iowa,DOT,2,Iowa DOT,Current Lettings,https://iowadot.gov/consultants-contractors/contracts/current-lettings,"Monthly letting proposals, plans, notices, specs (ERL)",Free,yes,1300,Reference docs and specs free; official bid documents and bidding via Bid Express (subscription).
Kansas,Vertical,2,"Dept. of Administration, OFPM","OFPM Design, Construction & Compliance",https://admin.ks.gov/offices/facilities-property-management/design-construction--compliance,Notices to bidders for state building construction,Free,yes,50,Formal ads in the Kansas Register; plan/spec sets via third-party plan rooms (e.g. BuildingConnected) named per notice.
Kansas,DOT,2,Kansas DOT (KDOT),KDOT Highway Letting Information,https://www.ksdot.gov/doing-business/highway-contractors/highway-letting-information,"Monthly letting proposals, plans, bid tabs",Free registration,yes,500,Prequalification required to bid; full proposals flow through Bid Express.
Kentucky,Vertical,2,Finance & Administration Cabinet,Kentucky eProcurement (eMARS VSS),https://finance.ky.gov/eProcurement/Pages/default.aspx,Construction solicitations from Div. of Engineering & Contract Administration,Free registration,yes,120,Solicitation docs live in VSS (vss.ky.gov); free vendor registration to respond.
Kentucky,DOT,1,Kentucky Transportation Cabinet (KYTC),KYTC Letting - Bids,https://transportation.ky.gov/Construction-Procurement/Pages/Letting-Bids.aspx,"Letting schedules, bid proposals, plans, addenda",Free,yes,1200,Proposals post free; e-bid submission via Bid Express with KYTC prequalification.
Louisiana,Vertical,2,"Div. of Administration, Facility Planning & Control",FPC Construction Bid Ads & Results,https://www.doa.la.gov/doa/fpc/project-administration-state/construction-bid-advertisements-and-results/,"Bid ads, bid tabs; full docs via LaPAC/designer",Free,yes,125,"Also posts on LaPAC; complete plan/spec sets often from the project designer, sometimes with deposit."
Louisiana,DOT,2,Louisiana DOTD,LA DOTD Construction Lettings,https://wwwapps.dotd.la.gov/engineering/lettings/,"Notices, plans, proposals, bid tabulations",Free registration,yes,630,Plans via DOTD's Falcon electronic plan room; BidX.com for e-bidding.
Maine,Vertical,1,DAFS Bureau of General Services,BGS Business Opportunities,https://www.maine.gov/dafs/bgs/business-opportunities,"Notices, project manuals/specs, drawings, addenda",Free,yes,70,"PROVEN in live test: project manual PDFs (e.g. #3843 Wellness Center) download directly from the listing page, no login. Easiest state tested."
Maine,DOT,1,MaineDOT,MaineDOT Bid Opportunities,https://www.maine.gov/dot/doing-business/bid-opportunities,"Ads, bid books, plans, addenda",Free,yes,240,Bid books download free; Bid Express optional and not on every project.
Maryland,Vertical,2,Dept. of General Services,eMaryland Marketplace Advantage (eMMA),https://emma.maryland.gov/page.aspx/en/rfp/request_browse_public,DGS construction solicitations over $15K with plans/specs attached,Free registration,no,200,Public browse; vendor registration needed for some attachments and to bid. Blocked automated check.
Maryland,DOT,2,MDOT State Highway Administration,"MDOT SHA Contracts, Bids & Proposals",https://roads.maryland.gov/mdotsha/pages/Index.aspx?PageId=17,"Construction ad schedule, bid info, specs, contract resources",Free registration,yes,150,SHA solicitations advertised via eMMA; bid electronically through Bid Express.
Massachusetts,Vertical,2,DCAMM,DCAMM Construction Bidding (e-Bid Room),https://www.mass.gov/construction-bidding-and-other-dcamm-procurement,"Bid packages, plans, specs/project manuals (c.149/149A/30)",Free registration,yes,70,e-Bid Room hosted on Bid Express/Infotech; free login to download documents.
Massachusetts,DOT,2,MassDOT Highway Division,Highway Construction Contract Bidding,https://www.mass.gov/massdot-highway-construction-contract-bidding,"Advertised project schedule, plans, proposals, specifications",Free registration,yes,140,Docs and e-bidding via Bid Express (bidx.com/ma); prequalification required to bid.
Michigan,Vertical,2,DTMB Design & Construction Division,DTMB Design & Construction,https://www.michigan.gov/dtmb/procurement/design-and-construction,"State facility construction solicitations, plans, specifications",Free registration,yes,100,Solicitations and docs in statewide SIGMA Vendor Self-Service (free registration).
Michigan,DOT,2,Michigan DOT (MDOT),MDOT Bid Letting,https://www.michigan.gov/mdot/business/contractors/bid-letting,"Letting ads, proposals, plans, bid results",Free registration,yes,700,E-bidding via Bid Express; prequalification/Form 1381 eligibility to bid.
Minnesota,Vertical,1,"Dept. of Administration, RECS",Construction Solicitations & Announcements,https://mn.gov/admin/business/vendor-info/construction-projects/solicitations-announcements/,"State building solicitations, plans, specs/project manuals",Free,yes,60,Public posting page; individual solicitations may point to per-project plan rooms.
Minnesota,DOT,2,Minnesota DOT (MnDOT),MnDOT Bid Letting,https://www.dot.state.mn.us/bidlet/,"Ads, proposals, plans and specs via E-Plan Room PDFs",Free registration,yes,270,Plans/specs free in E-Plan Room once advertised; bids via Bid Express with SWIFT vendor number.
Mississippi,Vertical,2,"DFA Bureau of Building, Grounds & Real Property",Construction Solicitations & Bid Tabs,https://www.dfa.ms.gov/construction-solicitations-bid-tabs,Construction bid ads (PDF) and bid tabs by GS number,Free,yes,90,Ads free; full spec books typically from the project A/E listed in each ad.
Mississippi,DOT,3,Mississippi DOT (MDOT),MDOT Construction Lettings Bid System,https://mdot.ms.gov/applications/bidsystem/Home.aspx,"Notices, letting docs, proposals, plans, bid results",Registration + fee,yes,320,Many letting PDFs viewable free; proposal and plan sales through shop.mdot.ms.gov.
Missouri,Vertical,1,"Office of Administration, FMDC",FMDC Bid Opportunities / Electronic Plans,https://oa.mo.gov/facilities/bid-opportunities,"IFBs, electronic plans, project manuals/bid specs",Free,yes,100,"PROVEN in live test: full bid spec PDFs (e.g. R2511-01 HVAC replacement, Div 23/26) download directly, no login."
Missouri,DOT,2,Missouri DOT (MoDOT),Bidding & Letting (Online Plans Room),https://www.modot.org/bidding-and-letting-information,"Letting plans, proposals, bid docs via Online Plans Room",Free registration,yes,700,Docs served from MoDOT's plans room app; registration/prequalification to bid.
Montana,Vertical,3,"Dept. of Administration, Architecture & Engineering Div.",A&E Current Bid Opportunities,https://architecture.mt.gov/CURRENT-BID-OPPORTUNITIES,State building bid listings with bid dates and design consultants,Free,yes,65,Listings free; plans and spec books usually distributed by the listed design consultant or Montana plan exchanges.
Montana,DOT,2,Montana DOT (MDT),MDT Contracting & Bidding,https://www.mdt.mt.gov/business/contracting/,"Advertised bid packages, PS&E, plan holders lists",Free registration,yes,125,Prequalification to bid; plan holders lists behind Okta login; e-bidding via Bid Express/Project Bids.
Nebraska,Vertical,3,DAS State Building Division,State Building Division Construction Bids,https://das.nebraska.gov/building/const-bids.html,Bid documents and notices for State Building Division projects,Free,yes,25,"Full plans/specs hosted with third-party plan rooms (Builders Bureau Lincoln, Omaha Exchange Builders)."
Nebraska,DOT,2,Nebraska DOT (NDOT),"Highway, Bridge & Local Projects Letting",https://dot.nebraska.gov/business-center/hwy-bridge-lp/,"Letting schedules, plans, proposals, addenda, bid results",Free registration,yes,255,Plans/proposals via Bid Express (bidx.com/ne); Form R-125 planholder registration + prequalification to bid.
Nevada,Vertical,3,"Dept. of Administration, State Public Works Division",SPWD Bid Advertisements,https://publicworks.nv.gov/Bids/Bid_Advertisements/,"Bid ads with electronic contract documents, plans, specs",Free registration,yes,100,Bid documents issued through QuestCDN plan room; SPWD keeps a qualified bidders list.
Nevada,DOT,2,Nevada DOT (NDOT),NDOT Contract Services (Public Portal),https://www.dot.nv.gov/doing-business/ndot-procurements/agreement-services/contract-services-3,"Advertised contracts, plans, specifications, Q&A, results",Free registration,yes,75,Docs and bidding via MasterWorks-based NDOT Public Portal; prequalification to bid.
New Hampshire,Vertical,3,DAS Bureau of Public Works Design & Construction,NH Public Works Design & Construction,https://www.das.nh.gov/publicworks/,State facility project documents and standards,Free registration,no,80,Blocked automated check; NH public works projects are actually advertised on NHDOT's Invitation for Bid page with password-protected plans/specs.
New Hampshire,DOT,3,New Hampshire DOT (NHDOT),NHDOT Invitation for Bid,https://www.dot.nh.gov/doing-business-nhdot/contractors/invitation-bid,Advertised highway and public works projects with proposals and plans,Free registration,yes,85,Proposal/plan downloads need a password from the Contract Office (603-271-3732).
New Jersey,Vertical,2,"Treasury, Div. of Property Management & Construction (DPMC)",DPMC Project Advertisements,https://www.nj.gov/treasury/dpmc/contract_project_adv.shtml,"Construction and A/E ads, scopes of work, bid documents",Free,yes,125,Ad PDFs free; bidders must hold DPMC contractor classification (N.J.A.C. 17:19).
New Jersey,DOT,2,New Jersey DOT (NJDOT),Construction Services - Current Advertised Projects,https://www.nj.gov/transportation/business/procurement/ConstrServ/,"Current advertised projects, plans, specifications, addenda",Free registration,yes,95,Prequalification (DC-74A) to bid; e-bidding via Bid Express (bidx.com/nj).
New Mexico,Vertical,1,GSD Facilities Management / State Purchasing,NM GSD Active Procurements (ITBs & RFPs),https://generalservices.state.nm.us/state-purchasing/active-itbs-and-rfps/active-procurements/,ITB/RFP docs and specs for state facility construction,Free,yes,50,FMD Capital Projects Bureau routes ads to this SPD public portal; registration only to submit bids.
New Mexico,DOT,2,New Mexico DOT (NMDOT),"PS&E Bureau (Plans, Specs & Estimates)",https://www.dot.nm.gov/infrastructure/plans-specifications-estimates-pse-bureau/,"Letting ads, plans, proposals, standard specifications",Free registration,yes,80,Bid documents and e-bidding on Bid Express (bidx.com).
New York,Vertical,2,OGS Design & Construction,OGS Construction Contractors Bid Opportunities,https://ogs.ny.gov/design-construction/construction-contractors,"Bid documents, plans, specifications for state building projects",Free registration,yes,300,"Docs via Bid Express (free registration, up to 7 business days to activate)."
New York,DOT,1,New York State DOT (NYSDOT),NYSDOT Bids and Lettings,https://www.dot.ny.gov/bids-and-lettings,"Contract proposals, plans, amendments, letting schedules",Free,no,320,Proposal/plan PDFs publicly downloadable; e-bids via Bid Express. Site blocks automated fetch.
North Carolina,Vertical,2,DOA State Construction Office (SCO),NC State Construction Office,https://www.doa.nc.gov/divisions/state-construction-office,"State capital project bid ads, plans, specifications",Free registration,yes,250,Projects tracked in Interscope+; formal ads post on the NC electronic Vendor Portal (evp.nc.gov).
North Carolina,DOT,1,North Carolina DOT (NCDOT),Connect NCDOT Letting Central,https://connect.ncdot.gov/letting/Pages/default.aspx,"Central and division letting proposals, plans, addenda, results",Free,yes,550,Free public downloads; optional Interested Parties List for notifications.
North Dakota,Vertical,2,OMB State Procurement Office,ND Bidding Opportunities (NDBuys),https://www.omb.nd.gov/doing-business-state/bidders/bidding-opportunities-and-resources,State agency solicitations incl. facility construction ITBs,Free registration,yes,50,Solicitations live in NDBuys (Ivalua); supplier registration to access and respond.
North Dakota,DOT,1,North Dakota DOT (NDDOT),NDDOT Bid Information,https://www.dot.nd.gov/construction-and-planning/construction-and-contractor-resources/bid-information,"Plans and proposals (ePlans), specifications, bid opening info",Free,yes,150,Plans/proposals free via ePlans; bids via Bid Express with Digital ID.
Ohio,Vertical,2,Ohio Facilities Construction Commission (OFCC),OFCC Bids & RFQs,https://ofcc.ohio.gov/project-opportunities/bids-rfqs/bids-rfqs,"Bid opportunities, RFQs/RFPs for state and K-12/higher-ed facilities",Free registration,yes,200,Bidding documents distributed through OFCC's Bid Express business page.
Ohio,DOT,1,Ohio DOT (ODOT),ODOT Contract Admin Bidding Documents,https://www.dot.state.oh.us/Divisions/ContractAdmin/Contracts/Pages/Bidding-Documents.aspx,"Plans, proposals, addenda, EBS files, planholder lists, bid tabs",Free,yes,900,Uses ODOT's DigitalPaper search for current/archived letting docs.
Oklahoma,Vertical,2,OMES Construction and Properties (CAP),OMES CAP Bidding Process / Solicitations,https://oklahoma.gov/omes/divisions/capital-assets-management/construction-and-properties/biddding-process.html,"State construction solicitations, specs, bid documents",Free registration,yes,200,All CAP projects on Bid Express; free to view/download after registration. (The 'biddding' spelling in the URL is correct.)
Oklahoma,DOT,1,Oklahoma DOT (ODOT),ODOT Contracts and Proposals,https://oklahoma.gov/odot/business-center/contracts-and-proposals.html,"Bid openings by date with advertised plans, proposals, bid docs",Free,yes,650,Plan/proposal PDFs public; bidders must prequalify via ODOT's Prequalification Portal.
Oregon,Vertical,2,Dept. of Administrative Services (DAS),OregonBuys eProcurement Portal,https://oregonbuys.gov/bso/,Open bid solicitations incl. agency construction projects,Free registration,yes,250,Public browse without login (Periscope S2G); supplier registration for some documents and to bid.
Oregon,DOT,2,Oregon DOT (ODOT),ODOT Bid & Award (eBIDS),https://www.oregon.gov/odot/business/procurement/pages/bid_award.aspx,"Special provisions, bidding plans, bid booklets, addenda",Free registration,yes,70,eBIDS free downloads with self-registration as plan holder; bidders also prequalify + register in OregonBuys.
Pennsylvania,Vertical,1,"Dept. of General Services (DGS), Public Works",PA eMarketplace (DGS bids & proposals),https://www.pa.gov/agencies/dgs/submit-proposals-and-bids-for-commonwealth-projects,Public works IFBs/RFPs with project manuals and drawings,Free registration,yes,200,Bid ads and documents on PA eMarketplace; vendor registration before bidding.
Pennsylvania,DOT,2,Pennsylvania DOT (PennDOT),ECMS (Engineering & Construction Management System),https://www.ecms.penndot.gov/ECMS/,"Highway bid packages, plans, proposals, letting schedules",Free registration,no,650,Public can view lettings; Business Partner registration/login for bid documents. Blocked automated check.
Rhode Island,Vertical,2,DOA Division of Purchases,RI Bidding Opportunities (Ocean State Procures),https://ridop.ri.gov/vendors/bidding-opportunities,State solicitations incl. construction and public works,Free registration,yes,70,Hosted on Ocean State Procures (WebProcure); login for full documents and Q&A; public works prequalification applies.
Rhode Island,DOT,2,Rhode Island DOT (RIDOT),RIDOT Bidding Opportunities,https://www.dot.ri.gov/ridotbidding/,Highway bid listings with plans and specifications,Free registration,yes,50,Bid board lists projects; documents and Q&A live in Ocean State Procures (login).
South Carolina,Vertical,2,SFAA Office of State Engineer,South Carolina Business Opportunities (SCBO),https://scbo.sc.gov/,Statewide construction solicitation ads with links to agency docs,Free,yes,1000,Free searchable ad database; actual spec books hosted by the soliciting agency linked from each ad.
South Carolina,DOT,2,South Carolina DOT (SCDOT),SCDOT Construction Letting Information,https://www.scdot.org/business/constructionletting-info.html,"Letting notices, bid forms, proposals, plans (4 weeks before letting)",Free registration,yes,300,"Bid forms/proposals via Bid Express; moved to Enhanced Bidding Jan 2026, Digital ID tied to SCDOT vendor number."
South Dakota,Vertical,2,"Bureau of Administration, Office of the State Engineer",OSE Advertisements for Bids,https://boa.sd.gov/state-engineer/adv-advertisements.aspx,Bid ads with links to plans/specs,Free,yes,80,Ad PDFs per project; full plans/specs often via the project A/E or plan room named in the ad.
South Dakota,DOT,1,South Dakota DOT (SDDOT),SDDOT Bid Letting Information,https://dot.sd.gov/doing-business/contractors/bid-letting-information/,"Letting plans, specifications, proposals",Free,yes,220,Links to the apps.sd.gov HC65 Bid Letting app with plans and specs for all advertised projects.
Tennessee,Vertical,3,"Dept. of General Services, STREAM",STREAM Construction Bid List,https://www.tn.gov/generalservices/stream/stream/contractors/construction-bid-list.html,List of all state capital projects out for bid,Free,yes,150,No direct downloads; contact the listed project designer for bid documents/project manuals.
Tennessee,DOT,2,Tennessee DOT (TDOT),TDOT Bid Lettings,https://www.tn.gov/tdot/tdot-construction-division/bid-lettings.html,"Letting proposals, plans, addenda",Free registration,yes,350,Proposal and addenda files on Bid Express; account + prequalification to bid.
Texas,Vertical,1,Texas Facilities Commission / Comptroller,Electronic State Business Daily (ESBD),https://www.txsmartbuy.gov/esbd,Solicitations with attached specs/drawings for TFC and all state agencies,Free,no,80,Search agency 'Texas Facilities Commission - 303'. Viewing free; TFC bid submission via its OpenGov portal. Blocked automated check.
Texas,DOT,1,Texas DOT (TxDOT),TxDOT Plans Online (Bid Lettings),https://www.txdot.gov/business/plans-online-bid-lettings.html,"Letting plans, proposals, addenda, bid tabs",Free,yes,3200,Explicitly a free download service; prequalification applies only to bidding.
Utah,Vertical,2,Division of Facilities Construction & Management (DFCM),DFCM Construction Management / U3P,https://dfcm.utah.gov/construction-management/,"Construction solicitations, plans, project manuals",Free registration,yes,150,Bid documents in the U3P portal on Bonfire (utah.bonfirehub.com); free account to download.
Utah,DOT,2,Utah DOT (UDOT),UDOT Contractor Resources / Contractor Zone,https://connect.udot.utah.gov/business/construction,"Advertised projects, bid documents, bid results",Free registration,yes,180,Docs in UDOT Contractor Zone (contractorzone.udot.utah.gov); account registration required.
Vermont,Vertical,2,"Buildings & General Services, Purchasing & Contracting",BGS Purchasing / VTBuys,https://bgs.vermont.gov/purchasing,State building ITBs/RFPs with specs,Free registration,yes,50,Solicitations moved to VTBuys eProcurement (vtbuysprocurement.vermont.gov); supplier registration to respond.
Vermont,DOT,1,Vermont Agency of Transportation (VTrans),VTrans Bid Opportunities & RFPs,https://vtrans.vermont.gov/contract-admin/bids-requests,"Construction bid ads, plans, proposals",Free,yes,80,Hub page for lettings; solicitations transitioning into VTBuys with per-RFP registration links.
Virginia,Vertical,1,Commonwealth of Virginia (DGS),eVA Virginia eProcurement Marketplace,https://eva.virginia.gov/,VBO solicitations incl. Open Construction category with attachments,Free,yes,500,Public can browse VBO/Open Construction free; supplier login to respond and for some attachments.
Virginia,DOT,2,Virginia DOT (VDOT),VDOT Highway Contractors - Advertisements,https://www.vdot.virginia.gov/doing-business/business-opportunities/highway-contractors/advertisements/,"Notices of advertisement, letting proposals, plans",Free registration,no,320,"Notice PDFs free; bid proposals via Bid Express, prequalification to bid. Blocked automated check."
Washington,Vertical,2,Dept. of Enterprise Services (DES),DES Public Works Bidding,https://des.wa.gov/do-business-state/public-works-bidding,"Public works bid packages, plans, specifications",Free registration,yes,150,Bids on DES's Euna/Bonfire portal (deswa.bonfirehub.com); free vendor registration.
Washington,DOT,1,Washington State DOT (WSDOT),WSDOT Contract Ad & Award,https://wsdot.wa.gov/business-wsdot/contracts/search-contracting-opportunities,"Currently advertised highway contracts, plans, proposals",Free,yes,100,Searchable list; contract pages link to plan sets and call-for-bids documents.
West Virginia,Vertical,3,"Dept. of Administration, Purchasing Division",WV Bid Opportunities (wvOASIS Bulletin),https://www.state.wv.us/admin/purchase/bidinfo.html,Statewide solicitations incl. GSD building construction with specs,Registration + fee,yes,130,Posts to wvOASIS Purchasing Bulletin; competitive bidding requires WV-1 registration + $125 annual fee.
West Virginia,DOT,2,WV Division of Highways,WVDOH Lettings,https://transportation.wv.gov/highways/contractadmin/Lettings/Pages/default.aspx,"Letting proposals, plans, addenda, bid results",Free registration,yes,600,Proposals via Bid Express (bidx.com/wv); eligible-bidder status required.
Wisconsin,Vertical,2,DOA Division of Facilities Development (DFD),DFD Projects Out for Bid,https://doa.wi.gov/Pages/DoingBusiness/DFDProjects.aspx,"State building bid documents, plans, specs, addenda",Free registration,yes,275,Per-project access through Trimble Unity Construct portal (replaced WisBuild 2024); free Trimble ID.
Wisconsin,DOT,2,Wisconsin DOT (WisDOT),Highway Construction Contract Info (HCCI),https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/default.aspx,"Letting proposals, preliminary plans, standard specs",Free registration,yes,750,Bidding via Bid Express/AASHTOWare; plan-holder status via the Bidder Proposal Request System (BPRS).
Wyoming,Vertical,2,Wyoming State Construction Department,Bid Listings - Contractors,https://stateconstruction.wyo.gov/procurement/bid-listings-contractors,State facility construction and professional services bids,Free registration,yes,50,Hosted on Public Purchase portal; free vendor account with NIGP codes for access and notifications.
Wyoming,DOT,3,Wyoming DOT (WYDOT),WYDOT Contractor Bid Information,https://www.dot.state.wy.us/home/business_with_wydot/contractors/contractor_bids.html,"Letting plans, proposals, cross-sections",Registration + fee,yes,100,Plans viewable free on site; downloads via QuestCDN for a small fee; e-bidding via iCX.
